MATERIAL_GRADE,MATERIAL_NAME,COATING_TYPE,DIMENSION,weight,material,article id,quantity
,,,,13240,HRP 2x1360 HR2 O,11015501,2135022
,,,,14779,HDC 0.85x1445 26G G10/10 MB O,11015537,2231511
,,,,12230,HDC 1.5x1290 34G G10/10 MB O,11016868,2134770
,,,,14474,HDC 0.57x1445 DX54D+Z 140 MB O,11018437,2177728
,,,,10740,CR 1.25x1088 E40 A O,11020045,2141151
,,,,745,INA_DRP 2.5x51 YMAGINE H320,13015500,585442
,,,,1075,2ND QUALITY CR SLIT,20000008,1967587
,,,,1080,2ND QUALITY CR SLIT,20000008,1967588
,,,,1060,2ND QUALITY CR SLIT,20000008,1967662
,,,,2025,2ND QUALITY HDC SLIT,20000036,2141622
,,,,2035,2ND QUALITY HDC SLIT,20000036,2141631
,,,,2040,2ND QUALITY HDC SLIT,20000036,2141644
,,,,10980,HDC 0.75x1855 XFV G7/7 MB O,36000012,2089220
,,,,19830,HDC 0.95x940 XSV G7/7 MB O,36000105,2095720
,,,,7870,CR 0.65x1437 X-ES A O,36000107,2284239
,,,,7960,CR 0.65x1437 X-ES A O,36000107,2292729
,,,,18920,CR 1.15x1317 E28 A O,36000114,2235139
,,,,18560,CR 1.15x1317 E28 A O,36000114,2237593
,,,,9500,HRP 1.8x815 YMPRESS S460MC LS O,36000274,2118606
,,,,14880,HDC 0.75x1725 CR300LA-GI 60/60 MB O,36000697,2221582
